company_id,user_id,quiz_id_in_company,question_id_in_quiz,question,answer_from_participant,is_answer_correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a4,incorrect
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a4,incorrect
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a4,incorrect
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a4,incorrect
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
4,4,1,1,q1,a1,correct
4,4,1,2,q2,a3,incorrect
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a4,incorrect
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a4,incorrect
4,4,1,1,q1,a1,correct
4,4,1,2,q2,a3,incorrect
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,1,1,q1,a1,correct
4,4,1,2,q2,a3,incorrect
4,4,1,1,q1,a1,correct
4,4,1,2,q2,a3,incorrect
4,4,2,1,q1New,a2,correct
4,4,2,2,q2,a2,correct
4,4,2,1,q1New,a4,incorrect
4,4,2,2,q2,a2,correct
